Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
314.335,45.2064,0.889706,328.397,33.51,0.895985,309.599,33.5543,0.921206,340.262,45.3632,0.919344,295.452,45.3169,0.903082,356.825,104.404,0.878823,274.337,104.378,0.919622,354.453,161.024,0.849374,276.638,161.069,0.855667,340.317,212.842,0.850051,307.239,212.819,0.881325,340.246,234.174,0.784941,290.625,234.167,0.80887,344.917,330.788,0.869685,276.59,328.579,0.896137,345.004,415.803,0.78843,274.128,411.106,0.88036
314.354,45.2081,0.889989,328.411,33.5031,0.901141,309.615,33.5469,0.92789,340.268,45.3401,0.906311,295.46,45.3026,0.905407,356.833,104.391,0.878228,274.342,104.369,0.922081,354.46,161.006,0.855664,276.635,161.061,0.859406,340.318,212.833,0.853468,307.214,212.792,0.871762,340.283,236.379,0.787674,290.638,236.405,0.811425,344.945,330.786,0.868454,276.602,330.759,0.887469,344.996,415.784,0.782689,274.133,411.131,0.876117
314.379,45.2028,0.884506,328.433,31.2797,0.906425,309.638,33.5261,0.933135,340.292,45.3229,0.896967,295.47,45.2792,0.902395,356.829,104.397,0.874044,274.339,104.335,0.923738,354.482,161.04,0.843619,276.628,161.041,0.86598,340.292,212.855,0.85409,307.241,210.54,0.867525,340.296,234.18,0.781588,290.664,234.157,0.814253,344.938,330.821,0.869088,276.638,330.751,0.879189,345.019,418.126,0.788668,274.14,411.079,0.875882
314.402,45.2013,0.883057,328.446,31.2711,0.91307,309.647,33.5244,0.933136,340.286,45.3096,0.88197,295.467,45.2869,0.912343,356.806,104.376,0.881831,274.34,104.325,0.924349,356.759,160.97,0.858736,276.617,161.026,0.867404,340.319,212.855,0.853738,307.265,210.54,0.868814,340.305,234.148,0.780619,290.679,234.122,0.814382,344.927,330.779,0.863373,276.62,328.544,0.879329,345.007,415.807,0.788028,274.139,411.084,0.874704
314.4,45.1939,0.88146,328.442,31.2614,0.913194,309.643,33.5172,0.934257,340.286,45.3077,0.887914,295.457,45.2822,0.923148,359.125,104.377,0.882765,274.33,104.348,0.923871,354.501,161.0,0.850075,276.652,161.053,0.856802,342.603,212.86,0.863717,309.498,212.776,0.875792,342.605,236.39,0.789344,290.67,234.167,0.813172,344.94,330.82,0.869438,276.621,328.576,0.888006,344.999,415.819,0.782791,274.116,411.125,0.874974
314.413,43.0121,0.880038,328.454,31.242,0.920715,309.645,33.4973,0.936864,340.294,45.2846,0.871321,295.447,45.2653,0.925955,356.817,104.355,0.885933,274.315,104.319,0.931439,356.766,160.984,0.857987,276.648,161.033,0.856241,342.624,212.858,0.865657,309.517,212.8,0.880086,342.585,234.164,0.782217,290.677,234.116,0.814951,344.93,330.807,0.865631,276.607,328.561,0.882223,345.0,415.767,0.782439,274.13,411.098,0.877134
314.406,43.0136,0.88449,328.455,31.2306,0.926927,309.631,31.2772,0.936626,340.313,45.2629,0.867309,295.446,45.2536,0.909174,356.801,104.346,0.889174,274.323,104.312,0.930675,356.773,160.995,0.855912,276.647,161.029,0.860884,342.634,212.862,0.870474,309.519,212.786,0.880803,342.596,234.128,0.78615,290.679,234.086,0.822662,344.93,330.775,0.868168,276.609,328.507,0.883969,345.018,415.808,0.786794,274.121,411.086,0.879079
314.401,43.0067,0.88079,328.443,31.2216,0.922168,309.624,33.5005,0.931461,340.308,45.2435,0.873472,295.44,45.2637,0.920839,356.829,104.338,0.887123,274.318,104.311,0.930756,356.771,160.98,0.857295,276.653,161.03,0.856776,342.649,212.854,0.872758,309.517,212.785,0.883403,342.606,234.166,0.786808,290.686,234.115,0.823576,344.946,330.839,0.867964,276.61,328.565,0.887816,345.021,418.087,0.78819,274.123,411.128,0.872063
314.377,43.001,0.883135,328.421,31.2214,0.915578,309.606,33.4975,0.927854,340.298,45.257,0.890414,295.43,45.2563,0.915523,356.799,104.298,0.896994,274.336,104.306,0.926475,356.786,160.938,0.868228,276.654,161.011,0.861226,344.908,212.847,0.874641,309.517,212.79,0.886896,342.593,234.128,0.783203,290.69,234.09,0.819857,344.911,330.776,0.859932,276.632,328.519,0.880329,345.012,415.77,0.785229,274.126,411.042,0.877192
314.37,43.0039,0.884357,328.414,31.2238,0.914339,309.599,33.5036,0.926336,340.284,45.2553,0.891859,295.424,45.2574,0.921988,356.798,104.295,0.89846,274.322,104.327,0.927151,356.773,160.933,0.867226,276.666,161.039,0.855634,342.664,212.856,0.878137,309.524,212.81,0.89118,342.603,234.157,0.790281,290.684,234.144,0.815126,344.959,330.818,0.870463,276.638,330.774,0.881996,345.013,418.093,0.782771,271.95,413.401,0.872004
